;;;;;;;;
4094a9ce4c8b4ee991fc01233ae54236;Lasagne met bospaddenstoelen, kalfszwezeriken en truffel;4;;B;/nl-be/recepten/receptDetails/Lasagne-met-bospaddenstoelen-kalfszwezeriken-en-truffel/r/4094a9ce4c8b4ee991fc01233ae54236;;2;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;925.6;2.67;2;5.2;4.50;6.69;12.48
;;;;;;;;
;;;;;;;;
8ce0b9053633419998d00159e4947bd0;In de oven gebakken kippenbouten met oregano en salade op Caesar-wijze;4;A;A;/nl-be/recepten/receptDetails/In-de-oven-gebakken-kippenbouten-met-oregano-en-salade-op-Caesar-wijze/r/8ce0b9053633419998d00159e4947bd0;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;3.5;0.00;0;0.0;0.00;0.05;72.87
;De Leeuw;668;1,600000024;0,600000024;11,30000019;1,5;8,300000191;?
;;;;;;;;
4747a847c26c4b74bce601577c4188b3;Gekke sandwich;1;;A;/nl-be/recepten/receptDetails/Gekke-sandwich/r/4747a847c26c4b74bce601577c4188b3;;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;225.1;1.49;0;0.8;1.30;3.43;83.32
;;;;;;;;
;;;;;;;;
b9eadfb5a18341549e7e01a3e7349beb;Duo van vis gemarineerd in peper en gekonfijte citroen;4;;A;/nl-be/recepten/receptDetails/Duo-van-vis-gemarineerd-in-peper-en-gekonfijte-citroen/r/b9eadfb5a18341549e7e01a3e7349beb;;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;547.1;1.49;0;1.3;1.96;12.73;50.39
;;;;;;;;
;;;;;;;;
4625b42f9f5c459ca63e01ac06ce252e;Pizza met rauwe ham, mozzarella en basilicum;4;C;A;/nl-be/recepten/receptDetails/Pizza-met-rauwe-ham-mozzarella-en-basilicum/r/4625b42f9f5c459ca63e01ac06ce252e;3;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;915.0;3.12;0;5.1;2.08;11.50;19.65
;De Leeuw;886;;1,100000024;9,699999809;1,5;11,89999962;?
;;;;;;;;
477f47aec42d47eb93c901d01b2bdbd3;Quiche met kropsla en geitenkaas, wortelsalade;4;C;C;/nl-be/recepten/receptDetails/Quiche-met-kropsla-en-geitenkaas-wortelsalade/r/477f47aec42d47eb93c901d01b2bdbd3;3;3;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;721.1;1.60;0;6.8;2.09;4.53;60.79
;De Leeuw;816;1,100000024;0,400000006;14,19999981;2,900000095;5,599999905;?
;;;;;;;;
043de63d7eb4486a9dd201fa738f4fd3;Quiche met witloof, feta en gerookte zalm;4;C;C;/nl-be/recepten/receptDetails/Quiche-met-witloof-feta-en-gerookte-zalm/r/043de63d7eb4486a9dd201fa738f4fd3;3;3;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;916.3;0.93;0;8.5;1.54;8.90;31.66
;De Leeuw;671;0,600000024;0,5;10,89999962;1,799999952;7,699999809;?
;;;;;;;;
26817377ac1140ea83e701c4434a271e;Broodje steak met barbecuesaus en gegrilde groenten;4;A;A;/nl-be/recepten/receptDetails/Broodje-steak-met-barbecuesaus-en-gegrilde-groenten/r/26817377ac1140ea83e701c4434a271e;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;586.6;0.93;2;0.8;5.29;10.74;36.15
;De Leeuw;509;2;0,400000006;3,700000048;3;10,10000038;?
;;;;;;;;
90f57918cf2a48cc852701e166282a73;Chich Taouk;4;A;A;/nl-be/recepten/receptDetails/Chich-Taouk/r/90f57918cf2a48cc852701e166282a73;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;297.1;1.42;0;0.4;0.56;12.44;47.33
;De Leeuw;526;1,799999952;0,200000003;4,300000191;1,299999952;18,29999924;?
;;;;;;;;
8f1feae0a6da408285d60204f3720ac3;Rijst met balletjes en tomaten;4;C;B;/nl-be/recepten/receptDetails/Rijst-met-balletjes-en-tomaten/r/8f1feae0a6da408285d60204f3720ac3;3;2;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;879.4;0.62;0;2.3;2.82;7.66;20.19
;De Leeuw;686;1;0,699999988;9;1,399999976;7,900000095;?
;;;;;;;;
cd4ce9ef4bf246aa8ba401ff643c9097;Gevulde kip met kruidenboter onder het vel en gevuld witloof;6;B;B;/nl-be/recepten/receptDetails/Gevulde-kip-met-kruidenboter-onder-het-vel-en-gevuld-witloof/r/cd4ce9ef4bf246aa8ba401ff643c9097;2;2;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;722.2;0.98;0;4.4;1.15;15.64;39.47
;De Leeuw;579;0,800000012;0,400000006;9,300000191;1,200000048;10,80000019;?
;;;;;;;;
f08937a4e7f8447b856e02148f8a0f21;Zalm met bosbessen;4;A;A;/nl-be/recepten/receptDetails/Zalm-met-bosbessen/r/f08937a4e7f8447b856e02148f8a0f21;1;1;
;;;;;;;;
;;Energy('Kj');Fibre;Salt;Fat;Sugar;Prot;VegFN
;SWF;602.4;1.10;0;1.5;4.18;10.12;49.51
;De Leeuw;537;2,299999952;0,100000001;8,399999619;2,700000048;9;?
;;;;;;;;
